user_id,property_id,num_score,text_score,match_score
1,1,97.82,0.0,58.69
1,2,84.42,0.0,50.65
1,3,70.63,2.07,43.21
1,4,82.5,0.0,49.5
1,5,81.17,1.26,49.2
1,6,63.96,0.9,38.74
1,7,98.47,1.45,59.66
1,8,99.14,0.66,59.74
1,9,92.41,6.61,58.09
1,10,96.87,0.0,58.12
1,11,75.38,2.15,46.09
1,12,90.08,0.69,54.33
1,13,81.11,0.0,48.67
1,14,90.45,2.0,55.07
1,15,99.08,6.23,61.94
1,16,90.3,0.0,54.18
1,17,81.17,2.15,49.56
1,18,88.7,0.0,53.22
1,19,88.7,0.0,53.22
1,20,95.07,0.0,57.04
1,21,94.42,7.16,59.52
1,22,80.9,2.61,49.59
1,23,82.35,0.0,49.41
1,24,90.33,0.67,54.46
1,25,74.16,0.0,44.5
1,26,91.06,0.0,54.63
1,27,63.96,0.0,38.38
1,28,86.92,1.33,52.68
1,29,99.62,1.6,60.41
1,30,96.67,0.0,58.0
2,1,95.44,2.36,58.21
2,2,98.56,0.87,59.49
2,3,88.82,0.0,53.29
2,4,47.07,1.6,28.88
2,5,66.57,0.44,40.11
2,6,55.47,3.5,34.68
2,7,80.06,0.0,48.04
2,8,93.99,0.23,56.49
2,9,76.5,5.23,47.99
2,10,96.36,3.87,59.37
2,11,39.22,1.23,24.03
2,12,99.43,0.24,59.76
2,13,72.9,1.62,44.39
2,14,98.06,0.0,58.83
2,15,83.21,3.7,51.4
2,16,99.04,0.93,59.79
2,17,66.57,0.26,40.05
2,18,100.0,0.25,60.1
2,19,100.0,0.78,60.31
2,20,71.35,0.23,42.9
2,21,83.21,0.26,50.03
2,22,96.48,4.76,59.79
2,23,64.92,0.98,39.35
2,24,96.89,0.0,58.14
2,25,52.62,0.26,31.68
2,26,66.95,0.78,40.49
2,27,55.47,1.43,33.85
2,28,70.4,0.25,42.34
2,29,88.5,0.26,53.2
2,30,80.4,2.36,49.18
3,1,95.27,1.29,57.68
3,2,78.49,1.63,47.75
3,3,64.2,0.0,38.52
3,4,88.04,0.68,53.1
3,5,81.95,4.32,50.9
3,6,63.89,4.9,40.29
3,7,99.59,0.52,59.96
3,8,97.18,1.76,59.01
3,9,93.15,0.0,55.89
3,10,93.91,5.09,58.38
3,11,81.32,1.31,49.31
3,12,85.07,0.26,51.15
3,13,80.43,1.56,48.88
3,14,85.83,0.43,51.67
3,15,99.59,2.83,60.89
3,16,85.42,0.0,51.25
3,17,81.95,0.75,49.47
3,18,83.28,0.27,50.08
3,19,83.28,1.67,50.63
3,20,97.51,0.24,58.61
3,21,94.01,5.72,58.69
3,22,74.75,7.02,47.66
3,23,83.75,0.79,50.56
3,24,85.95,2.21,52.46
3,25,76.77,15.64,52.32
3,26,93.72,0.68,56.5
3,27,63.89,0.31,38.46
3,28,87.97,5.05,54.8
3,29,99.02,3.05,60.63
3,30,97.35,1.29,58.93
4,1,71.99,1.85,43.93
4,2,61.73,0.57,37.27
4,3,60.64,0.6,36.63
4,4,86.54,0.64,52.18
4,5,97.38,1.39,58.99
4,6,19.61,5.55,13.99
4,7,90.58,0.48,54.54
4,8,78.83,8.87,50.85
4,9,97.37,0.0,58.42
4,10,78.62,0.24,47.27
4,11,69.34,0.94,41.98
4,12,57.75,0.24,34.75
4,13,93.6,0.91,56.52
4,14,55.47,1.69,33.96
4,15,81.91,2.12,49.99
4,16,57.0,0.0,34.2
4,17,97.38,0.7,58.71
4,18,59.83,5.57,38.13
4,19,59.83,2.22,36.79
4,20,94.17,0.23,56.6
4,21,64.44,1.28,39.17
4,22,62.02,1.04,37.63
4,23,98.7,4.68,61.09
4,24,53.94,0.0,32.36
4,25,43.41,3.42,27.42
4,26,98.33,0.0,59.0
4,27,19.61,0.29,11.88
4,28,55.82,1.47,34.08
4,29,87.16,0.79,52.62
4,30,94.75,1.85,57.59
5,1,96.73,2.67,59.11
5,2,85.62,1.37,51.92
5,3,74.25,4.97,46.54
5,4,82.0,2.06,50.03
5,5,85.83,0.95,51.87
5,6,56.98,0.97,34.58
5,7,98.69,0.0,59.22
5,8,98.79,5.32,61.4
5,9,95.2,4.8,59.04
5,10,97.46,0.0,58.48
5,11,72.52,0.68,43.79
5,12,89.01,2.47,54.39
5,13,85.92,0.0,51.55
5,14,88.64,0.4,53.34
5,15,97.87,0.0,58.72
5,16,88.96,0.98,53.77
5,17,85.83,0.43,51.67
5,18,88.5,1.03,53.51
5,19,88.5,0.42,53.27
5,20,95.77,0.93,57.83
5,21,91.17,0.0,54.7
5,22,82.89,0.75,50.03
5,23,86.7,0.0,52.02
5,24,88.09,0.75,53.16
5,25,68.47,0.0,41.08
5,26,93.11,0.0,55.87
5,27,56.98,0.0,34.19
5,28,82.4,2.54,50.46
5,29,100.0,0.0,60.0
5,30,98.26,2.67,60.03
6,1,93.63,1.09,56.61
6,2,79.36,2.57,48.65
6,3,67.98,0.0,40.79
6,4,87.81,0.98,53.08
6,5,87.59,1.96,53.33
6,6,55.34,11.97,37.99
6,7,99.84,0.0,59.9
6,8,96.49,3.36,59.24
6,9,96.49,0.0,57.89
6,10,94.28,0.55,56.79
6,11,78.26,0.56,47.18
6,12,83.25,5.53,52.16
6,13,86.12,3.72,53.16
6,14,83.15,0.46,50.07
6,15,98.06,0.6,59.08
6,16,83.29,1.88,50.73
6,17,87.59,1.08,52.99
6,18,82.49,0.56,49.72
6,19,82.49,0.47,49.69
6,20,98.46,0.51,59.28
6,21,89.92,1.73,54.64
6,22,76.56,1.76,46.64
6,23,89.05,0.54,53.65
6,24,82.78,9.76,53.57
6,25,70.0,0.58,42.23
6,26,96.34,0.0,57.8
6,27,55.34,0.65,33.46
6,28,82.47,1.49,50.08
6,29,99.32,0.58,59.83
6,30,99.23,1.09,59.97
7,1,97.33,2.18,59.27
7,2,93.33,0.67,56.27
7,3,78.09,2.91,48.02
7,4,52.8,1.39,32.24
7,5,58.52,0.0,35.11
7,6,70.71,0.56,42.65
7,7,81.65,0.88,49.34
7,8,94.74,0.0,56.84
7,9,72.45,0.75,43.77
7,10,94.49,0.65,56.96
7,11,50.0,0.0,30.0
7,12,99.59,0.0,59.75
7,13,63.59,1.66,38.81
7,14,100.0,0.0,60.0
7,15,87.35,3.78,53.92
7,16,99.83,0.95,60.27
7,17,58.52,2.16,35.98
7,18,98.06,0.0,58.83
7,19,98.06,0.8,59.15
7,20,72.76,0.84,43.99
7,21,90.91,0.0,54.55
7,22,89.44,1.1,54.11
7,23,57.93,2.72,35.85
7,24,99.86,0.0,59.92
7,25,67.08,6.65,42.91
7,26,65.65,0.8,39.71
7,27,70.71,1.16,42.89
7,28,81.59,0.0,48.95
7,29,88.64,0.0,53.18
7,30,78.84,2.18,48.17
8,1,94.59,2.65,57.81
8,2,86.19,1.97,52.5
8,3,77.67,1.58,47.24
8,4,80.68,0.27,48.51
8,5,90.33,9.33,57.93
8,6,48.51,6.37,31.65
8,7,98.02,0.0,58.81
8,8,97.48,0.89,58.85
8,9,97.48,1.07,58.92
8,10,97.23,1.87,59.09
8,11,68.6,0.29,41.27
8,12,86.95,0.28,52.28
8,13,90.59,0.63,54.61
8,14,85.75,0.0,51.45
8,15,95.59,1.63,58.0
8,16,86.61,0.0,51.97
8,17,90.33,4.55,56.02
8,18,87.45,0.29,52.58
8,19,87.45,4.37,54.22
8,20,95.67,0.26,57.5
8,21,86.62,1.46,52.56
8,22,84.37,0.32,50.75
8,23,90.84,2.01,55.31
8,24,84.73,0.0,50.84
8,25,61.36,0.29,36.93
8,26,94.58,0.0,56.75
8,27,48.51,2.68,30.18
8,28,76.49,0.29,46.01
8,29,99.5,0.3,59.82
8,30,99.15,2.65,60.55
9,1,98.16,1.44,59.47
9,2,82.85,0.24,49.8
9,3,67.03,2.49,41.21
9,4,82.41,3.53,50.86
9,5,76.59,0.5,46.15
9,6,69.65,1.67,42.46
9,7,97.66,3.21,59.88
9,8,98.81,0.81,59.61
9,9,89.4,6.32,56.17
9,10,95.74,1.0,57.84
9,11,77.4,0.29,46.55
9,12,90.46,2.86,55.42
9,13,76.4,1.87,46.59
9,14,91.47,1.97,55.67
9,15,99.5,0.0,59.7
9,16,90.9,0.0,54.54
9,17,76.59,0.3,46.07
9,18,88.31,2.3,53.91
9,19,88.31,0.0,52.99
9,20,93.86,7.28,59.23
9,21,96.66,0.3,58.12
9,22,78.66,1.1,47.64
9,23,78.03,0.84,47.15
9,24,91.71,0.67,55.29
9,25,78.66,0.29,47.32
9,26,88.69,0.72,53.5
9,27,69.65,0.33,41.92
9,28,90.32,2.7,55.27
9,29,98.65,0.9,59.55
9,30,94.67,1.44,57.38
10,1,68.82,1.55,41.92
10,2,91.38,1.97,55.62
10,3,99.39,0.0,59.63
10,4,20.37,1.55,12.84
10,5,74.48,0.98,45.08
10,6,0.0,10.91,4.36
10,7,57.74,1.98,35.43
10,8,70.93,3.76,44.06
10,9,70.93,1.69,43.24
10,10,80.18,6.19,50.58
10,11,0.0,1.51,0.6
10,12,76.82,0.3,46.21
10,13,83.01,0.0,49.8
10,14,70.71,0.5,42.63
10,15,52.94,0.0,31.76
10,16,74.74,0.0,44.84
10,17,74.48,0.86,45.04
10,18,83.21,0.31,50.05
10,19,83.21,0.52,50.13
10,20,51.45,0.28,30.98
10,21,42.86,0.32,25.84
10,22,94.87,6.6,59.56
10,23,70.22,2.99,43.33
10,24,66.9,1.77,40.85
10,25,0.0,0.32,0.13
10,26,55.71,0.78,33.74
10,27,0.0,0.36,0.14
10,28,23.08,0.95,14.23
10,29,68.38,0.97,41.41
10,30,66.9,1.55,40.76
11,1,92.72,2.9,56.79
11,2,76.21,1.98,46.52
11,3,63.76,2.69,39.33
11,4,90.14,1.0,54.49
11,5,86.01,2.67,52.67
11,6,57.74,6.62,37.29
11,7,100.0,0.0,60.0
11,8,95.55,2.45,58.31
11,9,95.55,0.0,57.33
11,10,92.58,2.15,56.41
11,11,81.65,1.36,49.53
11,12,81.31,1.45,49.37
11,13,83.87,1.66,50.98
11,14,81.65,0.46,49.18
11,15,98.49,0.61,59.34
11,16,81.51,0.0,48.91
11,17,86.01,1.1,52.05
11,18,80.06,0.57,48.27
11,19,80.06,10.5,52.24
11,20,99.01,0.52,59.62
11,21,90.73,1.76,55.14
11,22,73.03,1.5,44.42
11,23,87.85,0.55,52.93
11,24,81.54,0.87,49.27
11,25,73.03,2.12,44.67
11,26,96.49,0.0,57.89
11,27,57.74,0.67,34.91
11,28,84.38,2.31,51.55
11,29,98.69,0.59,59.45
11,30,98.7,2.9,60.38
12,1,95.44,2.46,58.25
